	name	latitude	longitude	scores	category	price	address	product	decoration	service
75986	羿庭	31.233816	121.49105	45.0	酒吧	232.0	黄浦区中山东一路2号华尔道夫酒店新塔楼	8.6	8.6	8.8
76162	A.T Bar	31.245186	121.49103	35.0	酒吧	59.0	虹口区大名路66 - 68号	7.0	7.1	7.3
76236	Sunset Bar	31.191385	121.387665	35.0	酒吧	113.0	闵行区虹梅路3338弄老外街21A号	7.5	8.0	7.3
76581	Salley Garden	31.206789	121.45344	40.0	酒吧	78.0	徐汇区永嘉路480号	7.6	8.1	8.0
76633	嘉里酒店The BREW •酿	31.212984	121.56338	45.0	酒吧	181.0	浦东新区花木路1388号嘉里大酒店1楼	8.9	9.0	8.5
76763	The OZ	31.204412	121.41836	30.0	酒吧	44.0	长宁区凯旋路1156号	6.8	7.1	7.0
77310	窄门	31.300808	121.50104	30.0	酒吧	43.0	杨浦区武东路1号	6.5	6.8	6.9
77450	Lune Bar	31.216843	121.452545	35.0	酒吧	54.0	徐汇区新乐路218号4楼	7.0	7.5	7.5
80097	山缇	31.213661	121.42934	35.0	酒吧	191.0	长宁区武夷路84号	7.0	7.5	7.5
80283	INFERNO	31.206758	121.45338	40.0	酒吧	53.0	徐汇区永嘉路480号弄内	7.8	8.1	8.4
80565	咏萄专卖店	31.230917	121.43646	40.0	酒吧	142.0	静安区泰州路200号	8.0	8.1	8.0
81981	迪龙酒吧	31.217775	121.42937	35.0	酒吧	46.0	长宁区宣化路62号	7.0	7.3	7.1
82454	TZ House 弹指之间音乐酒吧	31.22427	121.43522	45.0	酒吧	94.0	长宁区镇宁路525号一楼	8.4	8.5	8.7
82503	百特酒吧	31.226236	121.56078	35.0	酒吧	102.0	浦东新区浦东新区迎春路1199号上海证大丽笙酒店1楼	6.9	7.6	6.8
83125	Ture Love	31.20544	121.4468	30.0	酒吧	167.0	徐汇区衡山路10号欧登大厦2楼	6.7	7.0	7.1
83195	来因何酒吧	31.278463	121.45177	30.0	酒吧	31.0	闸北区共和新路2395弄大宁新天地61号	6.3	6.7	6.7
83849	MJ.98酒吧	31.228775	121.496956	30.0	酒吧	144.0	黄浦区中山东二路501号新十六铺商业区B112室	6.1	6.5	6.4
83973	亚太万豪酒店云景吧	31.221521	121.39594	35.0	酒吧	109.0	普陀区大渡河路158号新发展亚太万豪酒店33楼	6.9	7.8	7.7
84080	I Club	31.217436	121.467285	30.0	酒吧	400.0	卢湾区皋兰路2号甲复兴公园内	6.4	6.9	6.9
84097	Cheersin	31.211048	121.45885	40.0	酒吧	30.0	徐汇区永康路25号	8.3	8.1	8.1
84211	花样年华钢琴演艺会所	31.19368	121.39106	30.0	酒吧	283.0	长宁区荣华西道59号古北健身中心4楼	6.5	7.0	6.9
86087	XTD Elevated	31.22158	121.47406	40.0	酒吧	201.0	卢湾区马当路99号新天地朗廷酒店5楼	8.0	9.0	8.4
89983	酒悦国际酒廊	31.207884	121.46934	35.0	酒吧	84.0	卢湾区泰康路248号田子坊43铺	6.9	7.4	7.4
90310	KARTEL	31.220926	121.454315	40.0	酒吧	125.0	静安区襄阳北路1号5楼	8.0	8.8	8.1
91703	唯德居福	31.289589	121.15905	35.0	酒吧	83.0	嘉定区新源路55弄4号	6.9	7.2	7.1
92215	Craft	31.216003	121.45434	35.0	酒吧	115.0	徐汇区东湖路7号东湖宾馆2楼	7.0	7.4	7.9
92849	Haven Shanghai	31.211363	121.5052	40.0	酒吧	361.0	黄浦区中山南路1029号幸福码头3号楼	7.5	8.4	8.3
93874	Top Space Cafe & Lounge	31.21827	121.449554	35.0	酒吧	52.0	静安区巨鹿路889号18座	7.0	7.9	7.4
94164	Closless	31.221378	121.45934	40.0	酒吧	80.0	卢湾区进贤路169号	7.7	7.9	7.8
95301	Snow Bar	31.24374	121.50482	35.0	酒吧	70.0	浦东新区滨江大道富城路拾步街Käfer滨江壹号内	7.2	7.7	7.8
96201	Time Zipping House	31.2242	121.435265	30.0	酒吧	94.0	静安区镇宁路525号新东纺大酒店1楼	6.7	7.0	6.9
96703	罗斯福色戒酒吧	31.24051	121.48985	45.0	酒吧	163.0	黄浦区中山东一路27号罗斯福公馆9楼	7.9	9.3	8.4
97874	Rambler漫步者	31.208364	121.46832	35.0	酒吧	56.0	卢湾区建国中路155弄38号（泰康路田子坊内）	7.4	7.8	7.7
98674	爵士码头	31.249813	121.48524	35.0	酒吧	78.0	虹口区海宁路399号	6.8	7.2	7.1
98689	Arcade	31.210474	121.44477	40.0	酒吧	110.0	徐汇区复兴西路57号2楼	7.8	7.9	7.9
98749	Dr Beer	31.220642	121.45048	40.0	酒吧	119.0	静安区富民路83号	8.3	8.6	8.0
98795	Misael酒吧	31.210136	121.440956	35.0	酒吧	66.0	徐汇区武康路103号	7.1	7.6	7.5
99136	W&W 淳丰洋酒	31.231869	121.45973	35.0	酒吧	217.0	静安区北京西路779号	6.9	7.3	7.1
99347	Hollywood Shanghai	31.207493	121.4519	40.0	酒吧	133.0	徐汇区岳阳路46号	7.5	8.1	7.7
100257	Helens Bar	31.301308	121.494225	40.0	酒吧	51.0	杨浦区武川路49号2楼	7.9	8.1	7.7
100452	BAR Starry Night	31.22878	121.5639	35.0	酒吧	70.0	浦东新区丁香路1396号	6.9	7.2	7.1
101426	北美精华酒庄	31.233904	121.44321	35.0	酒吧	181.0	静安区常德路800号800秀园区A2-1楼	6.7	7.3	7.2
102461	Wood lounge	31.218582	121.46617	35.0	酒吧	41.0	卢湾区思南路30号4楼	7.0	7.9	7.6
102636	S-liwa Bar	31.23279	121.396	35.0	酒吧	64.0	普陀区大渡河路839号	7.0	7.5	7.6
102952	Sonik Fly	31.20515	121.44709	35.0	酒吧	119.0	徐汇区衡山路191号	6.9	7.4	7.1
103908	DE REFTER比利时餐厅啤酒吧	31.221329	121.45907	50.0	酒吧	105.0	卢湾区进贤路181号	9.0	9.1	9.1
103952	The Room	31.22109	121.4542	30.0	酒吧	142.0	徐汇区襄阳北路1号2楼	6.7	7.3	7.0
104002	FOUNT BAR	31.20598	121.45131	40.0	酒吧	100.0	徐汇区永嘉路570号永嘉庭5号楼1楼511号	7.7	8.4	8.0
104006	Papas Bierstube	31.19078	121.38682	40.0	酒吧	112.0	闵行区3338弄虹梅休闲街22-24号（老外街）	8.1	8.1	8.1
104533	MOOK	31.231213	121.4629	40.0	酒吧	669.0	静安区南京西路758号5楼	8.0	8.3	8.5
107642	梨泰园酒吧	31.146168	121.317055	30.0	酒吧	74.0	松江区沪亭北路350弄贝尚湾商业街2楼	6.5	6.7	7.3
108561	Amber Lounge	31.21708	121.4444	35.0	酒吧	121.0	静安区华山路370号3楼	7.3	7.6	7.6
108688	Waterpub	31.041224	121.2561	30.0	酒吧	54.0	松江区文翔路58弄大学生体育馆内	6.7	7.1	6.9
108876	紫檀酒吧	31.324154	121.45578	35.0	酒吧	29.0	闸北区岭南路1170-1172号	6.8	7.1	7.2
109301	补丁BAR	31.27277	121.4113	35.0	酒吧	56.0	宝山区真华路950弄大华第一坊123号	7.1	7.1	7.2
109338	M55	31.196505	121.39286	30.0	酒吧	68.0	长宁区水城南路55号六月汇广场106B单元	6.7	7.0	7.0
110083	乡村路	31.21963	121.44622	35.0	酒吧	94.0	静安区华山路259号	7.0	7.5	7.5
110156	The Camel Sports Bar	31.22277	121.51685	35.0	酒吧	100.0	浦东新区潍坊西路116号	6.9	7.6	6.9
110165	555酒吧	31.20626	121.38725	30.0	酒吧	100.0	长宁区安龙路555号	6.7	7.2	7.1
111008	Ruby's Club	31.235344	121.453186	30.0	酒吧	224.0	静安区江宁路428号静安体育中心2楼	6.2	6.6	6.7
112295	PAPAYA BAR	31.219105	121.4513	45.0	酒吧	99.0	静安区富民路185号-2S室	8.6	8.5	9.0
112495	亚当酒吧	31.2041	121.424	35.0	酒吧	70.0	长宁区新华路448-5号	7.2	7.1	7.9
112532	CLUB PLAYHOUSE	31.20548	121.446815	35.0	酒吧	236.0	徐汇区衡山路10号欧登大厦乙一楼	6.9	7.6	7.7
112668	Le Vin	31.215813	121.44584	50.0	酒吧	166.0	静安区长乐路936号	9.1	8.7	9.2
114190	Burdigala Bordeaux Wine Bar	31.23343	121.44981	50.0	酒吧	139.0	静安区武定路550号	9.0	8.9	9.1
114199	Side Bar 鸡尾酒飞镖酒吧	31.22129	121.46007	35.0	酒吧	107.0	卢湾区茂名南路56号56食尚谷内	7.2	7.8	7.7
114363	8898	31.039122	121.21053	30.0	酒吧	257.0	松江区新松江路1296号	6.7	7.0	7.0
116554	MUST Grill	31.23062	121.4447	40.0	酒吧	143.0	静安区武定路881号2号楼1楼	7.3	8.3	8.0
116763	UVA Wine Bar	31.235487	121.44877	50.0	酒吧	109.0	静安区陕西北路819号	9.2	9.2	9.1
117530	MT酒吧	31.210754	121.51808	30.0	酒吧	246.0	浦东新区浦建路15号	6.5	6.8	7.0
117926	简美酒吧	31.23074	121.43624	35.0	酒吧	70.0	静安区康定路1124号	6.8	7.1	7.1
118124	NEO BAR	31.296303	121.509125	40.0	酒吧	52.0	杨浦区国定路333号三号湾广场内	8.1	7.9	8.4
118844	GB据点	31.329119	121.529915	30.0	酒吧	116.0	杨浦区闸殷路181弄	6.6	6.9	6.9
119001	Ellen's Cafe	31.232092	121.40131	40.0	酒吧	51.0	普陀区怒江路366号2楼	8.0	8.2	8.2
119410	零听酒吧	31.133482	121.40169	35.0	酒吧	42.0	闵行区古方路76号南方休闲广场5楼	6.8	7.1	7.3
125945	IBIZA CLUB	31.235413	121.453156	35.0	酒吧	241.0	静安区江宁路428号静安体育中心1楼	7.5	8.0	7.6
126233	S1 Club	31.207527	121.42417	35.0	酒吧	80.0	长宁区定西路738号3楼	7.0	7.5	7.2
126761	The Office Live Music Bar	31.206917	121.46856	35.0	酒吧	61.0	卢湾区徐家汇路618号日月光中心广场1楼F09号铺	6.8	7.6	7.6
127419	Eddie's	31.191383	121.40757	40.0	酒吧	126.0	长宁区古羊路479号	8.0	8.4	8.4
127580	Senator Saloon	31.213104	121.44712	45.0	酒吧	107.0	徐汇区五原路98号	8.3	8.4	8.5
128377	Rainbow	31.164448	121.33792	30.0	酒吧	57.0	闵行区沪星路289弄顺恒广场21号	6.2	6.6	6.6
