	name	latitude	longitude	scores	category	price	address
5159	龙之梦大堂酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.21111	121.4304	35.0	酒吧	135.0	长宁区延安西路1116号龙之梦大酒店1楼
5188	金门大酒店酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.234188	121.47262	30.0	酒吧	42.0	黄浦区南京西路108号金门大酒店1楼
5204	Cotton's(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.20172	121.44768	40.0	酒吧	119.0	徐汇区安亭路132号
5376	喜来登大堂酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.203644	121.40555	35.0	酒吧	110.0	长宁区遵义南路5号虹桥喜来登上海太平洋大饭店1楼
5750	LIVEBAR(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.294176	121.52526	30.0	酒吧	73.0	杨浦区国顺东路800号
5827	紫金山大酒店大堂酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.227983	121.52355	30.0	酒吧	90.0	浦东新区东方路778号紫金山大酒店底楼
5902	嘉木堂酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.218264	121.43577	30.0	酒吧	60.0	长宁区东诸安浜路57号
6061	Beedees Coffee & Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.225307	121.465645	30.0	酒吧	47.0	静安区大沽路433号
6298	好梦酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.381283	121.492584	30.0	酒吧	83.0	宝山区水产路
6335	淳大万丽酒店大堂酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.223852	121.55225	30.0	酒吧	76.0	浦东新区长柳路100号淳大万丽酒店1楼
7155	Bar Gatsby Cocktail & Bourbon(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.225294	121.4641	40.0	酒吧	68.0	静安区大沽路488号
7261	789 Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.23463	121.476166	40.0	酒吧	141.0	黄浦区南京东路789号世茂皇家艾美酒店64-66楼
7267	裕景大堂酒廊(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.240953	121.5203	35.0	酒吧	76.0	浦东新区浦东大道535号裕景大饭店大堂
